Rango Edad,Cantidad Personas,Rango salarial (SMLV),Genero,Tipo Pension
0-19,0,Hasta 2,M,Invalidez
20-24,8,Hasta 2,M,Invalidez
25-29,82,Hasta 2,M,Invalidez
30-34,252,Hasta 2,M,Invalidez
35-39,652,Hasta 2,M,Invalidez
40-44,1096,Hasta 2,M,Invalidez
45-49,2137,Hasta 2,M,Invalidez
50-54,4358,Hasta 2,M,Invalidez
55-59,7585,Hasta 2,M,Invalidez
60-64,9409,Hasta 2,M,Invalidez
65-69,8397,Hasta 2,M,Invalidez
70-74,5223,Hasta 2,M,Invalidez
75-79,2972,Hasta 2,M,Invalidez
80-84,1588,Hasta 2,M,Invalidez
85-89,748,Hasta 2,M,Invalidez
90-94,268,Hasta 2,M,Invalidez
95-100,66,Hasta 2,M,Invalidez
100-104,8,Hasta 2,M,Invalidez
0-19,0,Hasta 2,F,Invalidez
20-24,9,Hasta 2,F,Invalidez
25-29,38,Hasta 2,F,Invalidez
30-34,155,Hasta 2,F,Invalidez
35-39,361,Hasta 2,F,Invalidez
40-44,788,Hasta 2,F,Invalidez
45-49,1507,Hasta 2,F,Invalidez
50-54,3170,Hasta 2,F,Invalidez
55-59,5180,Hasta 2,F,Invalidez
60-64,5930,Hasta 2,F,Invalidez
65-69,4554,Hasta 2,F,Invalidez
70-74,3222,Hasta 2,F,Invalidez
75-79,1814,Hasta 2,F,Invalidez
80-84,922,Hasta 2,F,Invalidez
85-89,448,Hasta 2,F,Invalidez
90-94,176,Hasta 2,F,Invalidez
95-100,35,Hasta 2,F,Invalidez
100-104,6,Hasta 2,F,Invalidez
0-19,0,Entre 2 y 4,M,Invalidez
20-24,0,Entre 2 y 4,M,Invalidez
25-29,0,Entre 2 y 4,M,Invalidez
30-34,2,Entre 2 y 4,M,Invalidez
35-39,18,Entre 2 y 4,M,Invalidez
40-44,32,Entre 2 y 4,M,Invalidez
45-49,76,Entre 2 y 4,M,Invalidez
50-54,186,Entre 2 y 4,M,Invalidez
55-59,367,Entre 2 y 4,M,Invalidez
60-64,441,Entre 2 y 4,M,Invalidez
65-69,198,Entre 2 y 4,M,Invalidez
70-74,73,Entre 2 y 4,M,Invalidez
75-79,30,Entre 2 y 4,M,Invalidez
80-84,14,Entre 2 y 4,M,Invalidez
85-89,15,Entre 2 y 4,M,Invalidez
90-94,2,Entre 2 y 4,M,Invalidez
95-100,2,Entre 2 y 4,M,Invalidez
100-104,0,Entre 2 y 4,M,Invalidez
0-19,0,Entre 2 y 4,F,Invalidez
