VALOR,UNIDAD,VIGENCIADESDE,VIGENCIAHASTA
2850.98,COP,09/10/2002,09/10/2002
2854.04,COP,10/10/2002,10/10/2002
2870.63,COP,11/10/2002,11/10/2002
2861.16,COP,12/10/2002,15/10/2002
2852.99,COP,16/10/2002,16/10/2002
2857.13,COP,17/10/2002,17/10/2002
2853.90,COP,18/10/2002,18/10/2002
2836.34,COP,19/10/2002,21/10/2002
2791.46,COP,22/10/2002,22/10/2002
2758.76,COP,23/10/2002,23/10/2002
2744.32,COP,24/10/2002,24/10/2002
2747.07,COP,25/10/2002,25/10/2002
2755.69,COP,26/10/2002,28/10/2002
2770.73,COP,29/10/2002,29/10/2002
2781.72,COP,30/10/2002,30/10/2002
2773.73,COP,31/10/2002,31/10/2002
2778.60,COP,01/11/2002,01/11/2002
2778.47,COP,02/11/2002,05/11/2002
2774.58,COP,06/11/2002,06/11/2002
2761.99,COP,07/11/2002,07/11/2002
2743.00,COP,08/11/2002,08/11/2002
2743.92,COP,09/11/2002,12/11/2002
2727.05,COP,13/11/2002,13/11/2002
2717.89,COP,14/11/2002,14/11/2002
2724.04,COP,15/11/2002,15/11/2002
2703.75,COP,16/11/2002,18/11/2002
2679.96,COP,19/11/2002,19/11/2002
2683.04,COP,20/11/2002,20/11/2002
2671.70,COP,21/11/2002,21/11/2002
2666.41,COP,22/11/2002,22/11/2002
2687.25,COP,23/11/2002,25/11/2002
2716.95,COP,26/11/2002,26/11/2002
2735.04,COP,27/11/2002,27/11/2002
2754.67,COP,28/11/2002,28/11/2002
2758.28,COP,29/11/2002,29/11/2002
2784.21,COP,30/11/2002,02/12/2002
2812.94,COP,03/12/2002,03/12/2002
2826.10,COP,04/12/2002,04/12/2002
2806.63,COP,05/12/2002,05/12/2002
2788.72,COP,06/12/2002,06/12/2002
2782.40,COP,07/12/2002,09/12/2002
2815.00,COP,10/12/2002,10/12/2002
2816.42,COP,11/12/2002,11/12/2002
2801.01,COP,12/12/2002,12/12/2002
2793.16,COP,13/12/2002,13/12/2002
2808.16,COP,14/12/2002,16/12/2002
2807.61,COP,17/12/2002,17/12/2002
2805.55,COP,18/12/2002,18/12/2002
2818.81,COP,19/12/2002,19/12/2002
2818.54,COP,20/12/2002,20/12/2002
2814.71,COP,21/12/2002,23/12/2002
2826.04,COP,24/12/2002,24/12/2002
2823.95,COP,25/12/2002,26/12/2002
2843.57,COP,27/12/2002,27/12/2002
2854.29,COP,28/12/2002,30/12/2002
